price_basis,provinsi,year,quarter,period,sector_code,sector_name,value_billion_idr
ADHK,Nusa Tenggara Timur,2024,Q3,2024Q3,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2486.02
ADHK,Nusa Tenggara Timur,2024,Q3,2024Q3,H,Transportasi dan Pergudangan,970.03
ADHK,Nusa Tenggara Timur,2024,Q3,2024Q3,I,Penyediaan Akomodasi dan Makan Minum,158.52
ADHK,Nusa Tenggara Timur,2024,Q3,2024Q3,J,Informasi dan Komunikasi,1959.24
ADHK,Nusa Tenggara Timur,2024,Q3,2024Q3,K,Jasa Keuangan dan Asuransi,802.51
ADHK,Nusa Tenggara Timur,2024,Q3,2024Q3,L,Real Estate,453.7
ADHK,Nusa Tenggara Timur,2024,Q3,2024Q3,MN,Jasa Perusahaan,27.28
ADHK,Nusa Tenggara Timur,2024,Q3,2024Q3,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2434.48
ADHK,Nusa Tenggara Timur,2024,Q3,2024Q3,P,Jasa Pendidikan,1567.03
ADHK,Nusa Tenggara Timur,2024,Q3,2024Q3,PDRB,Produk Domestik Regional Bruto,19499.09
ADHK,Nusa Tenggara Timur,2024,Q3,2024Q3,Q,Jasa Kesehatan dan Kegiatan Sosial,488.6
ADHK,Nusa Tenggara Timur,2024,Q3,2024Q3,RSTU,Jasa Lainnya,332.87
ADHK,Nusa Tenggara Timur,2024,Q4,2024Q4,A,"Pertanian, Kehutanan dan Perikanan",5411.09
ADHK,Nusa Tenggara Timur,2024,Q4,2024Q4,B,Pertambangan dan Penggalian,234.74
ADHK,Nusa Tenggara Timur,2024,Q4,2024Q4,C,Industri Pengolahan,249.64
ADHK,Nusa Tenggara Timur,2024,Q4,2024Q4,D,Pengadaan Listrik dan Gas,20.69
ADHK,Nusa Tenggara Timur,2024,Q4,2024Q4,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",14.32
