price_basis,provinsi,year,quarter,period,sector_code,sector_name,value_billion_idr
ADHB,Kep. Bangka Belitung,2021,Q1,2021Q1,K,Jasa Keuangan dan Asuransi,383.6
ADHB,Kep. Bangka Belitung,2021,Q1,2021Q1,L,Real Estate,743.89
ADHB,Kep. Bangka Belitung,2021,Q1,2021Q1,MN,Jasa Perusahaan,56.52
ADHB,Kep. Bangka Belitung,2021,Q1,2021Q1,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1070.76
ADHB,Kep. Bangka Belitung,2021,Q1,2021Q1,P,Jasa Pendidikan,516.36
ADHB,Kep. Bangka Belitung,2021,Q1,2021Q1,PDRB,Produk Domestik Regional Bruto,20046.9
ADHB,Kep. Bangka Belitung,2021,Q1,2021Q1,Q,Jasa Kesehatan dan Kegiatan Sosial,296.04
ADHB,Kep. Bangka Belitung,2021,Q1,2021Q1,RSTU,Jasa Lainnya,174.97
ADHB,Kep. Bangka Belitung,2021,Q2,2021Q2,A,"Pertanian, Kehutanan dan Perikanan",4131.22
ADHB,Kep. Bangka Belitung,2021,Q2,2021Q2,B,Pertambangan dan Penggalian,1942.75
ADHB,Kep. Bangka Belitung,2021,Q2,2021Q2,C,Industri Pengolahan,4417.72
ADHB,Kep. Bangka Belitung,2021,Q2,2021Q2,D,Pengadaan Listrik dan Gas,27.44
ADHB,Kep. Bangka Belitung,2021,Q2,2021Q2,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",4.43
ADHB,Kep. Bangka Belitung,2021,Q2,2021Q2,F,Konstruksi,2050.1
ADHB,Kep. Bangka Belitung,2021,Q2,2021Q2,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",3072.45
ADHB,Kep. Bangka Belitung,2021,Q2,2021Q2,H,Transportasi dan Pergudangan,773.75
ADHB,Kep. Bangka Belitung,2021,Q2,2021Q2,I,Penyediaan Akomodasi dan Makan Minum,627.65
ADHB,Kep. Bangka Belitung,2021,Q2,2021Q2,J,Informasi dan Komunikasi,439.97
ADHB,Kep. Bangka Belitung,2021,Q2,2021Q2,K,Jasa Keuangan dan Asuransi,388.3
ADHB,Kep. Bangka Belitung,2021,Q2,2021Q2,L,Real Estate,746.27
ADHB,Kep. Bangka Belitung,2021,Q2,2021Q2,MN,Jasa Perusahaan,57.11
ADHB,Kep. Bangka Belitung,2021,Q2,2021Q2,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1362.33
ADHB,Kep. Bangka Belitung,2021,Q2,2021Q2,P,Jasa Pendidikan,620.0
ADHB,Kep. Bangka Belitung,2021,Q2,2021Q2,PDRB,Produk Domestik Regional Bruto,21137.22
