price_basis,provinsi,year,quarter,period,sector_code,sector_name,value_billion_idr
ADHB,Kalimantan Utara,2020,Q2,2020Q2,Q,Jasa Kesehatan dan Kegiatan Sosial,281.58
ADHB,Kalimantan Utara,2020,Q2,2020Q2,RSTU,Jasa Lainnya,178.54
ADHB,Kalimantan Utara,2020,Q3,2020Q3,A,"Pertanian, Kehutanan dan Perikanan",4113.5
ADHB,Kalimantan Utara,2020,Q3,2020Q3,B,Pertambangan dan Penggalian,6202.93
ADHB,Kalimantan Utara,2020,Q3,2020Q3,C,Industri Pengolahan,2290.75
ADHB,Kalimantan Utara,2020,Q3,2020Q3,D,Pengadaan Listrik dan Gas,15.91
ADHB,Kalimantan Utara,2020,Q3,2020Q3,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",15.76
ADHB,Kalimantan Utara,2020,Q3,2020Q3,F,Konstruksi,3622.09
ADHB,Kalimantan Utara,2020,Q3,2020Q3,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",3084.3
ADHB,Kalimantan Utara,2020,Q3,2020Q3,H,Transportasi dan Pergudangan,1678.48
ADHB,Kalimantan Utara,2020,Q3,2020Q3,I,Penyediaan Akomodasi dan Makan Minum,375.72
ADHB,Kalimantan Utara,2020,Q3,2020Q3,J,Informasi dan Komunikasi,647.34
ADHB,Kalimantan Utara,2020,Q3,2020Q3,K,Jasa Keuangan dan Asuransi,274.12
ADHB,Kalimantan Utara,2020,Q3,2020Q3,L,Real Estate,191.7
ADHB,Kalimantan Utara,2020,Q3,2020Q3,MN,Jasa Perusahaan,57.42
ADHB,Kalimantan Utara,2020,Q3,2020Q3,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1276.62
ADHB,Kalimantan Utara,2020,Q3,2020Q3,P,Jasa Pendidikan,646.22
ADHB,Kalimantan Utara,2020,Q3,2020Q3,PDRB,Produk Domestik Regional Bruto,24965.27
ADHB,Kalimantan Utara,2020,Q3,2020Q3,Q,Jasa Kesehatan dan Kegiatan Sosial,289.17
ADHB,Kalimantan Utara,2020,Q3,2020Q3,RSTU,Jasa Lainnya,183.24
ADHB,Kalimantan Utara,2020,Q4,2020Q4,A,"Pertanian, Kehutanan dan Perikanan",4210.61
ADHB,Kalimantan Utara,2020,Q4,2020Q4,B,Pertambangan dan Penggalian,6517.63
ADHB,Kalimantan Utara,2020,Q4,2020Q4,C,Industri Pengolahan,2374.39
ADHB,Kalimantan Utara,2020,Q4,2020Q4,D,Pengadaan Listrik dan Gas,15.31
ADHB,Kalimantan Utara,2020,Q4,2020Q4,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",17.58
ADHB,Kalimantan Utara,2020,Q4,2020Q4,F,Konstruksi,3851.79
ADHB,Kalimantan Utara,2020,Q4,2020Q4,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",3166.65
ADHB,Kalimantan Utara,2020,Q4,2020Q4,H,Transportasi dan Pergudangan,1667.02
ADHB,Kalimantan Utara,2020,Q4,2020Q4,I,Penyediaan Akomodasi dan Makan Minum,385.56
ADHB,Kalimantan Utara,2020,Q4,2020Q4,J,Informasi dan Komunikasi,670.54
ADHB,Kalimantan Utara,2020,Q4,2020Q4,K,Jasa Keuangan dan Asuransi,299.45
ADHB,Kalimantan Utara,2020,Q4,2020Q4,L,Real Estate,197.88
ADHB,Kalimantan Utara,2020,Q4,2020Q4,MN,Jasa Perusahaan,57.05
ADHB,Kalimantan Utara,2020,Q4,2020Q4,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1330.56
